"filename", "language", "Markdown", "JavaScript", "HTML", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\Natha\OneDrive\Documents\PutOn\package.json", "JSON", 0, 0, 0, 33, 0, 0, 1, 34
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\account-settings.html", "HTML", 0, 0, 373, 0, 0, 22, 41, 436
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\brand-detail.html", "HTML", 0, 0, 105, 0, 0, 4, 15, 124
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\brand-of-the-day.html", "HTML", 0, 0, 218, 0, 0, 10, 11, 239
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\build-outfit.html", "HTML", 0, 0, 88, 0, 0, 6, 7, 101
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\explore.html", "HTML", 0, 0, 68, 0, 0, 1, 13, 82
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\follow-page.html", "HTML", 0, 0, 226, 0, 0, 0, 25, 251
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\homepage.html", "HTML", 0, 0, 50, 0, 0, 5, 8, 63
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\new-post.html", "HTML", 0, 0, 102, 0, 0, 2, 15, 119
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\profile.html", "HTML", 0, 0, 143, 0, 0, 7, 17, 167
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\user-preferences.html", "HTML", 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\virtual-wardrobe.html", "HTML", 0, 0, 384, 0, 0, 32, 33, 449
"c:\Users\Natha\OneDrive\Documents\PutOn\pages\wishlist.html", "HTML", 0, 0, 117, 0, 0, 12, 18, 147
"c:\Users\Natha\OneDrive\Documents\PutOn\server.js", "JavaScript", 0, 1695, 0, 0, 0, 167, 324, 2186
"c:\Users\Natha\OneDrive\Documents\PutOn\test-hf.js", "JavaScript", 0, 26, 0, 0, 0, 0, 5, 31
"Total", "-", 1, 6560, 2226, 5149, 6531, 783, 2456, 23706
